id,trigger,conditions,script,text,options,notes
OFFICER_YEONG_INTRO_NOTCOMISSIONED,PickGreeting,"$id ==  ""eusan_nation_officer_yeong"" score: 100
",,"INVALID CREDENTIALS. PLEASE SEE CENTRAL AUTHORITY FOR PERMISSIONS. THIS COMMUNICATIONS LINK WILL NOW END.
OR
Hello who is this. Your security credentials isn't valid so I am going to cut this convo short.
OR
Don't bother me.
OR
Who is this. Identify yourself...
OR
Don't know you, don't care.",,
OFFICER_YEONG_INTRO_COMMISIONED,PickGreeting,"$player.commissionFactionId == ""eusan_nation""
$id ==  ""eusan_nation_officer_yeong"" score: 100
$player.metOfficerYeong == false","$player.metOfficerYeong = true
ShowPersonVisual
FireAll PopulateOptions","Hello there. What do you want.",,
OFFICER_YEONG_NEGATIVEREP,PickGreeting,"RepLTE ""eusan_nation"" HOSTILE
$id ==  ""eusan_nation_officer_yeong"" score: 100
",,"YOUR COMMUNICATIONS REQUEST HAS BEEN REJECTED. YOUR ID HAS BEEN LOGGED. 
OR
COMMUNICATIONS TERMINATED. IF THIS HAS BEEN IN ERROR, PLEASE SEE CENTRAL AUTHORITY.
OR
ATTENTION ENEMY OF THE NATION. YOUR ATTEMPT TO BYPASS SECURITY HAS BEEN LOGGED.",,
"#END OFFICER_YEONG_GREETING",,,,,,
,,,,,,
# OFFICER_YEONG_CHAT,,,,,,
OFFICER_YEONG_OPTIONS_CHAT,PopulateOptions,"$id ==  ""eusan_nation_officer_yeong"" score: 100",,,"officeryeongChat:Chat",
OFFICER_YEONG_CHAT_LISTALLOPTIONS,DialogOptionSelected,"$option == officeryeongChat","FireAll PopulateOfficerYeongChatOptions",,,
OFFICER_YEONG_CHAT_PENROSE_PROGRAM,PopulateOfficerYeongChatOptions,,,,,
OFFICER_YEONG_CHAT_HEIMAT,PopulateOfficerYeongChatOptions,,,,,
OFFICER_YEONG_CHAT_ROTFRONT,PopulateOfficerYeongChatOptions,,,,,
OFFICER_YEONG_CHAT_LENG,PopulateOfficerYeongChatOptions,,,,,
OFFICER_YEONG_CHAT_SMOKING,PopulateOfficerYeongChatOptions,,,,,
OFFICER_YEONG_CHAT_ESCAPE_OPTION,PopulateofficeryeongGiftOptions,,,,"officeryeongChatEscape:I gotta go...",
OFFICER_YEONG_CHAT_ESCAPE_RETURN,DialogOptionSelected,"$option == officeryeongChatEscape","FireAll PopulateOptions","""Mmmhm...let me know if you want to know more stuff...""
OR
""Talk to you later then...""
OR
""Remember, whatever we speak here, probably should not be said anywhere else. Just a precaution""
OR
""See you next time...""",,
"#END OFFICER_YEONG_CHAT",,,,,,
,,,,,,
# OFFICER_YEONG_INSULT_COMPLIMENT,,,,,,
OFFICER_YEONG_OPTIONS_COMPLIMENT,PopulateOptions,"$id ==  ""eusan_nation_officer_yeong"" score: 100
$player.officeryeongreptalk == false",,,"officeryeongComplementResult:Compliment Officer Yeong
",
OFFICER_YEONG_OPTIONS_COMPLIMENT_WAIT,PopulateOptions,"$id ==  ""eusan_nation_officer_yeong"" score: 100
$player.officeryeongreptalk == true","SetEnabled officeryeongComplementResult false
SetTooltip officeryeongComplementResult ""You recently done this. Wait for a few days.""",,"officeryeongComplementResult:Compliment Officer Yeong",
OFFICER_YEONG_OPTIONS_INSULTS,PopulateOptions,"$id ==  ""eusan_nation_officer_yeong"" score: 100
$player.officeryeongreptalk == false",,,"officeryeongInsultResult:Insult Officer Yeong
",
OFFICER_YEONG_OPTIONS_INSULTS_WAIT,PopulateOptions,"$id ==  ""eusan_nation_officer_yeong"" score: 100
$player.officeryeongreptalk == true","SetEnabled officeryeongInsultResult false
SetTooltip officeryeongInsultResult ""You recently done this. Wait for a few days.""",,"officeryeongInsultResult:Insult Officer Yeong
",
OFFICER_YEONG_COMPLIMENT_RESULT,DialogOptionSelected,"$option == officeryeongComplementResult","AdjustRepActivePerson WELCOMING 1
$player.officeryeongreptalk = true 3
FireAll PopulateOptions","""Flattery is nice""
OR
""Thank you but your not my type""
OR
""Why thank you for the nice words. You just made my dad slightly brighter than normal""
OR
""Do you mean it?""",,
OFFICER_YEONG_INSULT_RESULT,DialogOptionSelected,"$option == officeryeongInsultResult","AdjustRepActivePerson SUSPICIOUS -1
$player.officeryeongreptalk = true 3
FireAll PopulateOptions","""That is not nice...""
OR
""Aye go away then...""
OR
""Uh huh...right then...""
OR
""Insulting me right here right now? Wow...""",,
"#END OFFICER_YEONG_INSULT_COMPLIMENT",,,,,,
,,,,,,
# OFFICER_YEONG_GIFT,,,,,,
OFFICER_YEONG_OPTIONS_GIFT,PopulateOptions,"$id ==  ""eusan_nation_officer_yeong"" score: 100
$player.officeryeonggiftgive == false",,,"officeryeongGiftOptions:Give Officer Yeong a Gift",
OFFICER_YEONG_OPTIONS_GIFT_WAIT,PopulateOptions,"$id ==  ""eusan_nation_officer_yeong"" score: 100
$player.officeryeonggiftgive == true","SetEnabled officeryeongGiftOptions false
SetTooltip officeryeongGiftOptions ""You recently done this. Wait for a few days.""",,"officeryeongGiftOptions: Give Officer Yeong a Gift",
OFFICER_YEONG_GIFT_LISTALLOPTIONS,DialogOptionSelected,"$option == officeryeongGiftOptions","FireAll PopulateofficeryeongGiftOptions",,,
OFFICER_YEONG_GIFT_LOBSTER_OFFER,PopulateofficeryeongGiftOptions,"$id == ""eusan_nation_officer_yeong"" score 100
PlayerHasCargo lobster",,,"officeryeongGiftLobsterOffer: Offer Officer Yeong a lobster from Volturn",
OFFICER_YEONG_GIFT_LOBSTER_GIFTED,DialogOptionSelected,"$option == officeryeongGiftLobsterOffer","AdjustRepActivePerson WELCOMING 5
$player.officeryeonggiftgive = true 7
FireAll PopulateOptions","""Thanks for the gift of lobster. Now I don't have to eat the ration packs they give us."" $personLastName says. ""Do you know how many time I have eaten the same ration pack this last week?""

$personLastName takes the gift from you. She seems slightly pleased with the fact she isn't going to eat the same dish this evening. 
OR
""Oh? A lobster? The last time I had lobster was when i was a child. My mother managed to get lobster from Vineta but even then it was a bit old.""

You hand her the lobster. She gives you a small nod in appreciation.
OR
""Oh my lobster? How did you get this? Did you swipe it from a shipment or bought it from a market? In fact don't tell me I don't want to know...""

She takes the lobster off your hands. You swore you can see a faint smile as she takes the gift.",,
OFFICER_YEONG_GIFT_LOBSTER_ASK,PopulateofficeryeongGiftOptions,"!PlayerHasCargo lobster",,,"officeryeongGiftLobsterAsk:Ask Officer Yeong how she feels about Volturn Lobsters",
OFFICER_YEONG_GIFT_LOBSTER_RESPONSE,DialogOptionSelected,"$option == officeryeongGiftLobsterAsk
","$player.officeryeonggiftgive = true 3
FireAll PopulateOptions","""Lobsters? I do not have time to get anything fancy for food, not that I can get them anyway. I only eaten lobster once and it was for a special occasion. That was years ago.""

""Wait...what do you mean blue lobsters?""
OR
""Lobsters...from Volturn? I have heard of them but I never seen one in person. I assume they have claws and stuff...""

""I bet it costs a lot just to ship them here""
OR
""I am not sure. Volturn is far away and I don't have time to fly around or travel. Even if I had the ability, I would need to pass checkpoint after checkpoint just to leave this planet. Not worth the time and effort just to sample a dish.""

""Maybe one day...""
OR
""Honestly, the rumor is that lobsters are shipped here as food for the upper echelons of the Nation's government here. I never seen any type of seafood here, Volturn or from Vineta.""

""Why you ask? Are you trying to get me one?""",,
OFFICER_YEONG_GIFT_LOBSTERPLUSH_OFFER,PopulateofficeryeongGiftOptions,"$id == ""eusan_nation_officer_yeong"" score 100
PlayerHasCargo sfcgift6",,,"officeryeongGiftLobsterPlushOffer: Offer Officer Yeong a soft plush lobster toy",
OFFICER_YEONG_GIFT_LOBSTERPLUSH_GIFTED,DialogOptionSelected,"$option == officeryeongGiftLobsterPlushOffer","AdjustRepActivePerson WELCOMING 1
$player.officeryeonggiftgive = true 14
FireAll PopulateOptions","""Thanks for the gift."" $personLastName says.  ""It be hard to keep this gift because contraband isn't allowed and i am pretty sure this is contraband.""

She looks happy but as she moves away you can see her edging towards the trash bin...
OR
""What a pitiful looking mascot. I love it."" as $personLastName takes the plush lobster from you. ""Thanks for the gift but please don't give me things like this in the future i can get in trouble...""

She gives the plush toy a small pat and disappears into her office. You hear a clunk of a trash bin lid.
OR
""The laws of the Nation are pretty strict. I can't recieve gifts or they will be considered bribes."" $personLastName says. ""Forturnatly I have the means of keeping gifts or sanitizing them. Thanks anyway.""

She gives you a faint nod and she walks away with the plush. You swore you could have heard the disposal chute turn on...",,
OFFICER_YEONG_GIFT_LOBSTERPLUSH_ASK,PopulateofficeryeongGiftOptions,"!PlayerHasCargo sfcgift6",,,"officeryeongGiftLobsterPlushAsk:Ask Officer Yeong how she feels about a stuffed toy lobster",
OFFICER_YEONG_GIFT_LOBSTERPLUSH_RESPONSE,DialogOptionSelected,"$option == officeryeongGiftLobsterPlushAsk
","$player.officeryeonggiftgive = true 3
FireAll PopulateOptions","""test""",,
OFFICER_YEONG_GIFT_CHOCOLAVA_OFFER,PopulateofficeryeongGiftOptions,"$id == ""eusan_nation_officer_yeong"" score 100
PlayerHasCargo uaf_bakery_choco_lava",,,"officeryeongGiftChocoLavaOffer: Offer Officer Yeong a chocolate lava cake",
OFFICER_YEONG_GIFT_CHOCOLAVA_GIFTED,DialogOptionSelected,"$option == officeryeongGiftChocoLavaOffer","AdjustRepActivePerson WELCOMING 5
$player.officeryeonggiftgive = true 5
FireAll PopulateOptions","""Huh? Interesting I never seen this type of dessert before"" $personLastName says. ""This is actually pretty good. Where does it come from?""

She pokes the cake a bit...chocolate filling begins to ooze out.

""In fact don't tell me. Its better if I don't know"". 
OR
""Oh my what is this thing? A cake? And its filled with a sweet gooey filling? How decadent...Nothing like this comes to my desk"" $personLastName says. You can tell she is exceptionally fascinated by the cake you gave her.

She gives the cake a small nibble. Chocolate filing oozes out and she gives a small smile.

""Thanks...this means a lot to me""
OR
""You really should not be giving me gifts its considered illegal and against the laws I could get in trouble...is that cake? With a sweet filling?"" $personLastName says. She moves her hand to poke the filling that oozed out. She gives a small lick and her eyes brighten.

""This is really good. Thanks for the gift!""

",,
OFFICER_YEONG_GIFT_CHOCOLAVA_ASK,PopulateofficeryeongGiftOptions,"!PlayerHasCargo uaf_bakery_choco_lava",,,"officeryeongGiftChocoLavaAsk:Ask Officer Yeong about chocolate lava cakes",
OFFICER_YEONG_GIFT_CHOCOLAVA_RESPONSE,DialogOptionSelected,"$option == officeryeongGiftChocoLavaAsk
","$player.officeryeonggiftgive = true 3
FireAll PopulateOptions","""test""",,
OFFICER_YEONG_GIFT_ESCAPE_OPTION,PopulateofficeryeongGiftOptions,,,,"officeryeongGiftEscape: Reconsider giving a gift...",
OFFICER_YEONG_GIFT_ESCAPE_RETURN,DialogOptionSelected,"$option == officeryeongGiftEscape","FireAll PopulateOptions","""Wait you were going to give me something?""
OR
""Perhaps it be best if you did not""
OR
""Whatever...""",,
"#END OFFICER_YEONG_GIFT",,,,,,
"#END EUSAN_NATION_OFFICER_YEONG",,,,,,
"#END EUSAN_NATION_NPC_DIALOUGE",,,,,,

